"Source:","C:\Users\doluwamu.kaye\Desktop\alarm system\FPGA final\FPGA.kicad_sch"
"Date:","16/06/2023 23:28:07"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","72"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BUT1, BUT2, BUT3, BUT4, BUT5, BUT6, BUT7, BUT8, BUT9, BUT10, BUT11, BUT12, BUT13, BUT14, BUT15, BUT16, BUT17","17","SW_Push","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","Push button switch, generic, two pins","",""
"C1","1","0.1UF","C_Small","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","Unpolarized capacitor, small symbol","",""
"C2","1","10UF","C_Polarized_US","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","Polarized capacitor, US symbol","",""
"J1","1","Jack-DC","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack","",""
"Q1, Q2, Q3","3","BC547","NPN","Package_TO_SOT_THT:TO-92_Inline","Bipolar transistor symbol for simulation only, substrate tied to the emitter","",""
"Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11","8","BC557","PNP","Package_TO_SOT_THT:TO-92_Inline","Bipolar transistor symbol for simulation only, substrate tied to the emitter","",""
"R1, R2, R9, R10, R11, R12, R13, R14, R26, R27, R28","11","100R","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"R3","1","1K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"R4","1","2K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"R5, R6, R7, R8, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R35, R36","17","10k","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"R29, R30, R31, R32, R33, R34","6","10K","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"U1","1","~","myFGPA","Package_DIP:DIP-48_W15.24mm_LongPads","","",""
"U2, U3","2","~","KW4-281A","myCustomFootprints:KW4-281A seven segment","","",""
"U4","1","LM7805","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220","",""
"U5","1","~","myJTAG","","","",""
